CompanyName,Name,Legal
City Park Center a.s.,City Park Center a.s.,
"UK Blackfriars financing, s. r. o.","UK Blackfriars financing, s. r. o.",
TOPTRANS PLUS s.r.o.,TOPTRANS PLUS s.r.o.,
"ZVS IMPEX, akciová spoločnosť","ZVS IMPEX, akciová spoločnosť",
Porth Performance s. r. o.,Porth Performance s. r. o.,
CENTRON SLOVAKIA spol. s r.o.,CENTRON SLOVAKIA spol. s r.o.,
iLeaf j. s. a.,iLeaf j. s. a.,
"VÚRUP, a.s.","VÚRUP, a.s.",
Fit&Co s. r. o.,Fit&Co s. r. o.,
"SP@M Group, j. s. a.","SP@M Group, j. s. a.",
BLAUHILL ADVISORY j. s. a.,BLAUHILL ADVISORY j. s. a.,
GAMOTA výrobné družstvo,GAMOTA výrobné družstvo,
JOKKA s. r. o.,JOKKA s. r. o.,
ALSAVEI s.r.o.,ALSAVEI s.r.o.,
blaqque j. s. a.,blaqque j. s. a.,
STEBERG s.r.o.,STEBERG s.r.o.,
SHOOOS s. r. o.,SHOOOS s. r. o.,
Allwyn Slovensko a.s.,Allwyn Slovensko a.s.,
New School Group j. s. a.,New School Group j. s. a.,
"SARA DESIGN, s.r.o.","SARA DESIGN, s.r.o.",
BICAR s. r. o.,BICAR s. r. o.,
Fun On j. s. a.,Fun On j. s. a.,
"SPV 5000, j. s. a.","SPV 5000, j. s. a.",
"AR SHELVING, s.r.o.","AR SHELVING, s.r.o.",
"RZ INVESTMENT GROUP, a.s.","RZ INVESTMENT GROUP, a.s.",
KUPEX spol. s r.o.,KUPEX spol. s r.o.,
Exosphere s. r. o.,Exosphere s. r. o.,
"BENCONT FUNDING, s. r. o.","BENCONT FUNDING, s. r. o.",
TAM Properties DNV a. s.,TAM Properties DNV a. s.,
KOGENEO j. s. a.,KOGENEO j. s. a.,
Ing. Albert Pír - Berti+,Ing. Albert Pír - Berti+,
inPack s. r. o.,inPack s. r. o.,
SR Alfa s. r. o.,SR Alfa s. r. o.,
Arcidiecézna charita Košice,Arcidiecézna charita Košice,
ESO STAV s.r.o.,ESO STAV s.r.o.,
DAPLO TRADE s. r. o.,DAPLO TRADE s. r. o.,
"PATRIA INVEST, a. s.","PATRIA INVEST, a. s.",
"Volutaria, j. s. a.","Volutaria, j. s. a.",
ESPRESSOSERVIS s.r.o.,ESPRESSOSERVIS s.r.o.,
"PENZA, s.r.o.","PENZA, s.r.o.",
FINAL - CD spol. s r. o.,FINAL - CD spol. s r. o.,
Zairen s. r. o.,Zairen s. r. o.,
RV Centrum s. r. o.,RV Centrum s. r. o.,
WEALTHART a. s.,WEALTHART a. s.,
"ADVOKÁTSKA KANCELÁRIA JUDr. Ivan Roháč, s.r.o.","ADVOKÁTSKA KANCELÁRIA JUDr. Ivan Roháč, s.r.o.",
ALTIS interier s.r.o.,ALTIS interier s.r.o.,
"Liaharenský podnik Nitra, a.s.","Liaharenský podnik Nitra, a.s.",
Nexora Energy s. r. o.,Nexora Energy s. r. o.,
KEWL s.r.o.,KEWL s.r.o.,
winwin architects s. r. o.,winwin architects s. r. o.,
"MB ART & MEDIA, s.r.o.","MB ART & MEDIA, s.r.o.",
"ZVS holding, a.s.","ZVS holding, a.s.",
HIMEX PLUS s. r. o.,HIMEX PLUS s. r. o.,
"Communication Group, a. s.","Communication Group, a. s.",
"ZORTE CAPITAL, s.r.o.","ZORTE CAPITAL, s.r.o.",
AUTOMONIQ s. r. o.,AUTOMONIQ s. r. o.,
GP Partner s. r. o.,GP Partner s. r. o.,
RFE Holdings j. s. a.,RFE Holdings j. s. a.,
"Automobilové opravovne Ministerstva vnútra Slovenskej republiky, a. s.","Automobilové opravovne Ministerstva vnútra Slovenskej republiky, a. s.",
PFSB s. r. o.,PFSB s. r. o.,
HORVÁTH - RAMAS s.r.o.,HORVÁTH - RAMAS s.r.o.,
ZENCOR processing a. s.,ZENCOR processing a. s.,
"SlovZink, a.s.","SlovZink, a.s.",
ARKON Group s.r.o.,ARKON Group s.r.o.,
"FUMBI, s. r. o.","FUMBI, s. r. o.",
"Ardaco, a.s.","Ardaco, a.s.",
"KTC SLOVAKIA, s.r.o.","KTC SLOVAKIA, s.r.o.",
"Vydavateľstvo Marker, j. s. a.","Vydavateľstvo Marker, j. s. a.",
Bushcars s. r. o.,Bushcars s. r. o.,
bart.insight s. r. o.,bart.insight s. r. o.,
H.E.M. Capital s.r.o.,H.E.M. Capital s.r.o.,
ukiyo s. r. o.,ukiyo s. r. o.,
"NUGGET design, s.r.o.","NUGGET design, s.r.o.",
M.G.C. s.r.o.,M.G.C. s.r.o.,
"AGRARIA-INVESTMENTS, spol. s r. o.","AGRARIA-INVESTMENTS, spol. s r. o.",
"Non Banking Credit Bureau, ZZPO","Non Banking Credit Bureau, ZZPO",
VO Medical j. s. a.,VO Medical j. s. a.,
ŽELING a.s.,ŽELING a.s.,
"TECHNOPOL, a.s.","TECHNOPOL, a.s.",
M+M s.r.o.,M+M s.r.o.,
Futurino s.r.o.,Futurino s.r.o.,
Dol M&A Financial Consulting and Trust Solutions s. r. o.,Dol M&A Financial Consulting and Trust Solutions s. r. o.,
"LIMLAB, s. r. o.","LIMLAB, s. r. o.",
"hojsik.org, s.r.o.","hojsik.org, s.r.o.",
Emergence s. r. o.,Emergence s. r. o.,
"Fintegence, s.r.o.","Fintegence, s.r.o.",
"SYNTHES, INC.",SYNTHES,INC.
"The Curators of the University of Missouri for the Retirement, Disability, and Death Benefit Plan","The Curators of the University of Missouri for the Retirement, Disability, and Death Benefit Plan",
"RJ CAPITAL SERVICES, INC.",RJ CAPITAL SERVICES,INC.
"GE Sistemas Medicos de Mexico, S.A de C.V.","GE Sistemas Medicos de Mexico, S.A de C.V.",
Thrivent Aggressive Allocation Fund,Thrivent Aggressive Allocation Fund,
"Sankaty Credit Opportunities II, L.P.","Sankaty Credit Opportunities II, L.P.",
Rocwood Capital Management LP,Rocwood Capital Management,LP
BlackRock Impact Mortgage Fund,BlackRock Impact Mortgage Fund,
"MERITOR, INC. RETIREMENT PLAN","MERITOR, INC. RETIREMENT PLAN",
Waddell & Reed Advisors Funds - Waddell & Reed Advisors High Income Fund,Waddell & Reed Advisors Funds - Waddell & Reed Advisors High Income Fund,
"Wellington Trust Company, NA CTF Biotechnology Portfolio","Wellington Trust Company, NA CTF Biotechnology Portfolio",
BALL CORPORATION,BALL,CORPORATION
LVIP Mondrian Global Income Fund,LVIP Mondrian Global Income Fund,
California Ironworkers Field Pension Trust,California Ironworkers Field Pension Trust,
Drawbridge Long Dated Value Fund II (B) LP,Drawbridge Long Dated Value Fund II (B),LP
Jean LP & Deborah J Brunel,Jean LP & Deborah J Brunel,
"Black Stone Minerals Company, L.P.","Black Stone Minerals Company, L.P.",
"ARRIS Group, Inc.",ARRIS Group,Inc.
FX Concepts (SAC) Ltd. - Protection Fund,FX Concepts (SAC) Ltd. - Protection Fund,
CITIGROUP PTY LIMITED,CITIGROUP PTY,LIMITED
EURO CORPORATE BOND FUND,EURO CORPORATE BOND FUND,
Kennametal Inc. Master Trust,Kennametal Inc. Master Trust,
ARES EUROPEAN CLO II B.V.,ARES EUROPEAN CLO II B.V.,
BNY MELLON NEWTON INTERNATIONAL EQUITY FUND,BNY MELLON NEWTON INTERNATIONAL EQUITY FUND,
Laborers,Laborers,
"HEDGED EQUITY, LLC",HEDGED EQUITY,LLC
FIDELITY COMMONWEALTH TRUST - Fidelity Nasdaq Composite Index Fund,FIDELITY COMMONWEALTH TRUST - Fidelity Nasdaq Composite Index Fund,
GLOBAL GOVERNMENT SHORT DURATION BOND FUND,GLOBAL GOVERNMENT SHORT DURATION BOND FUND,
RidgeWorth Funds - RidgeWorth Seix Total Return Bond Fund,RidgeWorth Funds - RidgeWorth Seix Total Return Bond Fund,
LVIP American Preservation Fund,LVIP American Preservation Fund,
VANGUARD INVESTMENTS SELECT SERIES I PUBLIC LIMITED COMPANY - VANGUARD® MPF PORTFOLIO III,VANGUARD INVESTMENTS SELECT SERIES I PUBLIC LIMITED COMPANY - VANGUARD® MPF PORTFOLIO III,
AIM Variable Insurance Funds (Invesco Variable Insurance Funds) - INVESCO V.I. Basic Balanced Fund,AIM Variable Insurance Funds (Invesco Variable Insurance Funds) - INVESCO V.I. Basic Balanced Fund,
"RIVA CAPITAL PARTNERS, L.P.","RIVA CAPITAL PARTNERS, L.P.",
Napier Park Mortgage/Credit Opportunity Master Fund Ltd.,Napier Park Mortgage/Credit Opportunity Master Fund,Ltd.
GAM STAR FUND PUBLIC LIMITED COMPANY,GAM STAR FUND PUBLIC LIMITED,COMPANY
UBS LIFE DIVERSIFIED RETURN FUND,UBS LIFE DIVERSIFIED RETURN FUND,
Investor Freedom 2025 Portfolio,Investor Freedom 2025 Portfolio,
ADVANCE INTERNATIONAL FIXED INTEREST MULTI-BLEND FUND,ADVANCE INTERNATIONAL FIXED INTEREST MULTI-BLEND FUND,
"RICART PROPERTIES, INC.",RICART PROPERTIES,INC.
AECOM,AECOM,
"BRIDGEWATER EVENT RISK FUND I, LTD.",BRIDGEWATER EVENT RISK FUND I,LTD.
EUROPE ALPHA TILTS FUND,EUROPE ALPHA TILTS FUND,
IMAP ANNAPURNA PUBLIC LIMITED COMPANY,IMAP ANNAPURNA PUBLIC LIMITED,COMPANY
Fidelity Total Emerging Markets Fund,Fidelity Total Emerging Markets Fund,
PIMCO Emerging Markets Bond Fund,PIMCO Emerging Markets Bond Fund,
"Lone Star Fund VII (Bermuda), L.P.","Lone Star Fund VII (Bermuda), L.P.",
Palmer Square Absolute Return Fund,Palmer Square Absolute Return Fund,
"CCG RECEIVABLES III, LLC",CCG RECEIVABLES III,LLC
"FIVE STATES CONSOLIDATED III, LTD.",FIVE STATES CONSOLIDATED III,LTD.
VVA - OBLIGATIONEN USD,VVA - OBLIGATIONEN USD,
ProShares Trust - ProShares UltraPro 10 Year TIPS/TSY Spread,ProShares Trust - ProShares UltraPro 10 Year TIPS/TSY Spread,
Burlington Resources LLC,Burlington Resources,LLC
APOLLO ASIA PRIVATE CREDIT MASTER FUND PTE. LTD.,APOLLO ASIA PRIVATE CREDIT MASTER FUND PTE,LTD.
"Prudential World Fund, Inc. - Prudential International Value Fund","Prudential World Fund, Inc. - Prudential International Value Fund",
GOLDMAN SACHS (ASIA) FINANCE,GOLDMAN SACHS (ASIA) FINANCE,
"HM MALL Acceptance Company, LLC",HM MALL Acceptance Company,LLC
Goldman Sachs Collective Trust - Strategic Value Fund,Goldman Sachs Collective Trust - Strategic Value Fund,
"Two Sigma Private Investments Fund, LLC",Two Sigma Private Investments Fund,LLC
OPPENHEIMER INTERNATIONAL EQUITY FUND,OPPENHEIMER INTERNATIONAL EQUITY FUND,
SCHUKRA BERNDORF GMBH,SCHUKRA BERNDORF,GMBH
"GS MEZZANINE PARTNERS V INSTITUTIONAL FUND, L.P.","GS MEZZANINE PARTNERS V INSTITUTIONAL FUND, L.P.",
THRIVENT SERIES FUND INC - Thrivent Partner Growth Stock Portfolio,THRIVENT SERIES FUND INC - Thrivent Partner Growth Stock Portfolio,
MFS HIGH INCOME MUNICIPAL TRUST,MFS HIGH INCOME MUNICIPAL TRUST,
"INVESCO PRIVATE CAPITAL, INC.",INVESCO PRIVATE CAPITAL,INC.
Emerging Sovereign Special Situation Fund LP,Emerging Sovereign Special Situation Fund,LP
UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA,
GE WATER & PROCESS TECHNOLOGIES ITALY S.R.L.,GE WATER & PROCESS TECHNOLOGIES ITALY S.R.L.,
"AG Commercial Real Estate Debt Fund, L.P.","AG Commercial Real Estate Debt Fund, L.P.",
ARGO Import and Salvage Inc.,ARGO Import and Salvage,Inc.
"WEST STREET ENERGY PARTNERS AIV-1, L.P.","WEST STREET ENERGY PARTNERS AIV-1, L.P.",
Aemsco Inc.,Aemsco,Inc.
Goldman Sachs Dynamic Municipal Income Fund,Goldman Sachs Dynamic Municipal Income Fund,
PRECO III (UK) NO.2 L.P.,PRECO III (UK) NO.2 L.P.,
"UNS ELECTRIC, INC.",UNS ELECTRIC,INC.
Goldman Sachs Investment Unit Trust - Goldman Sachs Credit Balanced Fund,Goldman Sachs Investment Unit Trust - Goldman Sachs Credit Balanced Fund,
"Pyramis Global Market Neutral Master Fund, Ltd",Pyramis Global Market Neutral Master Fund,Ltd
Russell Investments Emerging Markets Fund,Russell Investments Emerging Markets Fund,
BPR CUMULUS LLC,BPR CUMULUS,LLC
Waddell & Reed Advisors Funds - Waddell & Reed Advisors Wilshire Global Allocation Fund,Waddell & Reed Advisors Funds - Waddell & Reed Advisors Wilshire Global Allocation Fund,
"JENNISON GLOBAL HEALTHCARE MASTER FUND, LTD.",JENNISON GLOBAL HEALTHCARE MASTER FUND,LTD.
Advantage CoreAlpha Bond Master Portfolio,Advantage CoreAlpha Bond Master Portfolio,
"T & J 2006, LLC",T & J 2006,LLC
SP PLUS CORPORATION,SP PLUS,CORPORATION
"MKP Enhanced Opportunity Master Fund, Ltd.",MKP Enhanced Opportunity Master Fund,Ltd.
Interstate Power and Light Company,Interstate Power and Light,Company
SOCIETE GENERALE INTERNATIONAL LIMITED,SOCIETE GENERALE INTERNATIONAL,LIMITED
ALPHA ADVANTAGE 500 FUND B,ALPHA ADVANTAGE 500 FUND B,
"93rd Street JH, LLC",93rd Street JH,LLC
JANUS HENDERSON SHORT DURATION FLEXIBLE BOND FUND,JANUS HENDERSON SHORT DURATION FLEXIBLE BOND FUND,
"Absolute Return Capital Partners, L.P.","Absolute Return Capital Partners, L.P.",
PEPCO HOLDINGS LLC,PEPCO HOLDINGS,LLC
IBM DANMARK ApS,IBM DANMARK,ApS
"SOLVEST, LTD.",SOLVEST,LTD.
"CHARTER COMMUNICATIONS, INC.",CHARTER COMMUNICATIONS,INC.
"Syncarpha Jets Solar, LLC",Syncarpha Jets Solar,LLC
INVESCO INTERMEDIATE TERM MUNICIPAL INCOME FUND,INVESCO INTERMEDIATE TERM MUNICIPAL INCOME FUND,
ProShares Ultra Gold,ProShares Ultra Gold,
GE Capital Canada Funding Company,GE Capital Canada Funding,Company
Employee Benefit Investment Funds - Voya Core Plus Trust Fund,Employee Benefit Investment Funds - Voya Core Plus Trust Fund,
THIRD AVENUE SMALL-CAP VALUE FUND,THIRD AVENUE SMALL-CAP VALUE FUND,
TAYSIDE PENSION FUND,TAYSIDE PENSION FUND,
"SSS - Odana Road, LLC",SSS - Odana Road,LLC
DWS Small Cap Growth Fund,DWS Small Cap Growth Fund,
Contra Costa County Employees,Contra Costa County Employees,
FIREMAN,FIREMAN,
"American Funds Insurance Series, Mortgage Fund","American Funds Insurance Series, Mortgage Fund",
ALLIANCEBERNSTEIN L.P.,ALLIANCEBERNSTEIN L.P.,
THE HARTFORD INTERNATIONAL FUNDS - HARTFORD INTERNATIONAL - UK CORPORATE BOND FUND,THE HARTFORD INTERNATIONAL FUNDS - HARTFORD INTERNATIONAL - UK CORPORATE BOND FUND,
"PFM Thematic Growth Offshore Fund A.I., Ltd.",PFM Thematic Growth Offshore Fund A.I,Ltd.
"TD Moore, LP",TD Moore,LP
FRANKLIN EUROPEAN CORPORATE BOND FUND,FRANKLIN EUROPEAN CORPORATE BOND FUND,
NATIONAL LIFE INSURANCE COMPANY,NATIONAL LIFE INSURANCE,COMPANY
PGIM California Muni Income Fund,PGIM California Muni Income Fund,
Russell Exchange Traded Funds Trust - Russell Equity ETF,Russell Exchange Traded Funds Trust - Russell Equity ETF,
Mellon Offshore Currency Opportunity Enhanced UK Equitized,Mellon Offshore Currency Opportunity Enhanced UK Equitized,
ProShares UltraShort FTSE China 50,ProShares UltraShort FTSE China 50,
"Castlelake I, L.P.","Castlelake I, L.P.",
Silicon Valley Bank,Silicon Valley Bank,
Granite Wash LLC,Granite Wash,LLC
Fidelity Disciplined Equity Fund,Fidelity Disciplined Equity Fund,
LOCKE LORD LLP,LOCKE LORD,LLP
Kobs Road Joint Venture LLC,Kobs Road Joint Venture,LLC
FUTURE DIRECTIONS INTERNATIONAL BOND FUND,FUTURE DIRECTIONS INTERNATIONAL BOND FUND,
ALPHADYNE ASSET MANAGEMENT LP,ALPHADYNE ASSET MANAGEMENT,LP
FRO UB INVESTMENTS LLC,FRO UB INVESTMENTS,LLC
Stark Master Fund Ltd.,Stark Master Fund,Ltd.
Russell World Equity Strategies Fund,Russell World Equity Strategies Fund,
INVESCO PERPETUAL FIXED INTEREST INVESTMENT SERIES - INVESCO PERPETUAL HIGH YIELD FUND,INVESCO PERPETUAL FIXED INTEREST INVESTMENT SERIES - INVESCO PERPETUAL HIGH YIELD FUND,
GAM STAR FLEXIBLE GLOBAL PORTFOLIO,GAM STAR FLEXIBLE GLOBAL PORTFOLIO,
NESTLÉ FINANCE INTERNATIONAL LTD.,NESTLÉ FINANCE INTERNATIONAL,LTD.
"BNY Mellon Investment Grade Funds, Inc. - BNY Mellon Inflation Adjusted Securities Fund","BNY Mellon Investment Grade Funds, Inc. - BNY Mellon Inflation Adjusted Securities Fund",
"CHATHAM ASSET HIGH YIELD MASTER FUND, LTD.",CHATHAM ASSET HIGH YIELD MASTER FUND,LTD.
Northrop Grumman Pension Master Trust,Northrop Grumman Pension Master Trust,
DWS Floating Rate Fund,DWS Floating Rate Fund,
"GSLP I OFFSHORE INVESTMENT FUND A, L.P.","GSLP I OFFSHORE INVESTMENT FUND A, L.P.",
"Islip DC Realty, LLC",Islip DC Realty,LLC
KleinBank,KleinBank,
"TCO Investors, L.P.","TCO Investors, L.P.",
DIVERSIFIED COMPLETION,DIVERSIFIED COMPLETION,
Fidelity Emerging Markets Fund,Fidelity Emerging Markets Fund,
TRANSAMERICA PREMIER LIFE INSURANCE COMPANY,TRANSAMERICA PREMIER LIFE INSURANCE,COMPANY
COMMINGLED PENSION TRUST FUND EMERGING MARKETS FIXED INCOME OF JPMORGAN CHASE BANK NA,COMMINGLED PENSION TRUST FUND EMERGING MARKETS FIXED INCOME OF JPMORGAN CHASE BANK NA,
ROYAL BANK OF CANADA (CHANNEL ISLANDS) LIMITED,ROYAL BANK OF CANADA (CHANNEL ISLANDS),LIMITED
FRANKLIN U.S. DOLLAR SHORT-TERM MONEY MARKET FUND,FRANKLIN U.S. DOLLAR SHORT-TERM MONEY MARKET FUND,
STATE STREET GLOBAL ADVISORS FIXED INCOME PUBLIC LIMITED COMPANY - SSGA EURO INFLATION LINKED BOND INDEX FUND,STATE STREET GLOBAL ADVISORS FIXED INCOME PUBLIC LIMITED COMPANY - SSGA EURO INFLATION LINKED BOND INDEX FUND,
RAF Fund Ltd.,RAF Fund,Ltd.
ANTHRACITE CDO III LTD.,ANTHRACITE CDO III,LTD.
HAVI Global Solutions (Latin America) LLC,HAVI Global Solutions (Latin America),LLC
"AIG MARKETS, INC.",AIG MARKETS,INC.
"BETA ANALYTIC, INC.",BETA ANALYTIC,INC.
THE HARTFORD INFLATION PLUS FUND,THE HARTFORD INFLATION PLUS FUND,
425 EAST 61ST STREET P4 LLC,425 EAST 61ST STREET P4,LLC
"PPL Generation, LLC",PPL Generation,LLC
Columbia Intermediate Duration Municipal Bond Fund,Columbia Intermediate Duration Municipal Bond Fund,
"TWO SIGMA INVESTMENTS, LP",TWO SIGMA INVESTMENTS,LP
Focus Features LLC,Focus Features,LLC
RELATIVE VALUE MANAGERS II PUBLIC LIMITED COMPANY,RELATIVE VALUE MANAGERS II PUBLIC LIMITED,COMPANY
GANGES IBLP,GANGES IBLP,
Fidelity Diversified International Fund,Fidelity Diversified International Fund,
American Maturity Life Insurance Company,American Maturity Life Insurance,Company
U.S. Government Plus ProFun,U.S. Government Plus ProFun,
Nuveen Core Plus Bond Fund,Nuveen Core Plus Bond Fund,
American Beacon SIM High Yield Opportunities Fund,American Beacon SIM High Yield Opportunities Fund,
WHATMAN GMBH,WHATMAN,GMBH
SEI INSTITUTIONAL INVESTMENTS TRUST,SEI INSTITUTIONAL INVESTMENTS TRUST,
Quentin Supercenter LLC,Quentin Supercenter,LLC
GMO U.S. Treasury Fund,GMO U.S. Treasury Fund,
"Duke Energy Progress, LLC",Duke Energy Progress,LLC
"Parking Management Services of Mississippi, Inc.",Parking Management Services of Mississippi,Inc.
CAPITAL GROUP LONG DURATION CREDIT TRUST US,CAPITAL GROUP LONG DURATION CREDIT TRUST US,
GLOBAL SUSTAINABLE GROWTH,GLOBAL SUSTAINABLE GROWTH,
PROFUND VP PHARMACEUTICALS,PROFUND VP PHARMACEUTICALS,
Money Market Portfolio,Money Market Portfolio,
"STICHTING BEDRIJFSTAKPENSIOENFONDS VOOR HET SCHILDERS-, AFWERKINGS- EN GLASZETBEDRIJF","STICHTING BEDRIJFSTAKPENSIOENFONDS VOOR HET SCHILDERS-, AFWERKINGS- EN GLASZETBEDRIJF",
Laurion Capital Master Fund Ltd.,Laurion Capital Master Fund,Ltd.
Wacker Chemie AG,Wacker Chemie,AG
"OHA Hedged Credit Master, L.P.","OHA Hedged Credit Master, L.P.",
FRIENDS LIFE INVESTMENTS LIMITED,FRIENDS LIFE INVESTMENTS,LIMITED
958 Madison Associates,958 Madison Associates,
EATON CORPORATION,EATON,CORPORATION
STICHTING PENSIOENFONDS CAMPAGNE,STICHTING PENSIOENFONDS CAMPAGNE,
INVESCO CALIFORNIA VALUE MUNICIPAL INCOME TRUST,INVESCO CALIFORNIA VALUE MUNICIPAL INCOME TRUST,
BARRICK MINING CORPORATION,BARRICK MINING,CORPORATION
NEW CAPITAL MULTIBOND EUR,NEW CAPITAL MULTIBOND EUR,
"Cayman Commodity-CSF, LLC",Cayman Commodity-CSF,LLC
Lord Abbett Short Duration Income Fund,Lord Abbett Short Duration Income Fund,
TM Jasme Properties LLC,TM Jasme Properties,LLC
"BRIGADE CAPITAL MANAGEMENT, LP",BRIGADE CAPITAL MANAGEMENT,LP
AMUNDI ABSOLUTE RETURN PIMCO FUND PUBLIC LIMITED COMPANY - AMUNDI ABSOLUTE RETURN PIMCO REFLECTION FUND,AMUNDI ABSOLUTE RETURN PIMCO FUND PUBLIC LIMITED COMPANY - AMUNDI ABSOLUTE RETURN PIMCO REFLECTION FUND,
Fidelity Advisor Equity Value Fund,Fidelity Advisor Equity Value Fund,
Columbia Funds Variable Insurance Trust I - Columbia Variable Portfolio - Mid Cap Growth Fund,Columbia Funds Variable Insurance Trust I - Columbia Variable Portfolio - Mid Cap Growth Fund,
"GS Opportunity Partners Offshore - C, L.P.","GS Opportunity Partners Offshore - C, L.P.",
ProShares UltraShort MidCap400,ProShares UltraShort MidCap400,
"BAIN CAPITAL DISTRESSED AND SPECIAL SITUATIONS 2013 (A2 MASTER), L.P.","BAIN CAPITAL DISTRESSED AND SPECIAL SITUATIONS 2013 (A2 MASTER), L.P.",
DWS Small Mid Cap Growth VIP,DWS Small Mid Cap Growth VIP,
Citadel Energy Investments Ltd.,Citadel Energy Investments,Ltd.
"Riviana Foods, Inc.",Riviana Foods,Inc.
"GE Industrial Motors Mexico, S. de R.L. de C.V.","GE Industrial Motors Mexico, S. de R.L. de C.V.",
"LiquidMacro Master Fund, Ltd.",LiquidMacro Master Fund,Ltd.
ALGEBRIS FINANCIAL BOND FUND,ALGEBRIS FINANCIAL BOND FUND,
DRW INVESTMENTS L.L.C.,DRW INVESTMENTS L.L.C.,
Wilderness Travel,Wilderness Travel,
Empower Life & Annuity Insurance Company of New York,Empower Life & Annuity Insurance Company of New York,
NATIONAL ELEVATOR INDUSTRY PENSION PLAN,NATIONAL ELEVATOR INDUSTRY PENSION PLAN,
GLOBAL STRATEGIC BOND FUND,GLOBAL STRATEGIC BOND FUND,
ProShares UltraShort 7-10 Year Treasury,ProShares UltraShort 7-10 Year Treasury,
"L & L Holding Co., L.L.C.","L & L Holding Co., L.L.C.",
"Strayer Education, Inc.",Strayer Education,Inc.
"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union",
T. Rowe Price International Discovery Fund,T. Rowe Price International Discovery Fund,
OPPENHEIMER INTERMEDIATE INCOME FUND,OPPENHEIMER INTERMEDIATE INCOME FUND,
"Wellington Trust Company, NA CTF Core Bond Plus Portfolio","Wellington Trust Company, NA CTF Core Bond Plus Portfolio",
MULTI-STRATEGY PORTFOLIO CIS LTD,MULTI-STRATEGY PORTFOLIO CIS,LTD
John Hancock Funds II - Technical Opportunities Fund,John Hancock Funds II - Technical Opportunities Fund,
OPTIMUM LARGE CAP GROWTH FUND,OPTIMUM LARGE CAP GROWTH FUND,
GE VINGMED ULTRASOUND AS,GE VINGMED ULTRASOUND,AS
Wellington Management Portfolios (Luxembourg) IV SICAV - FIS - Japan Core Bond Plus,Wellington Management Portfolios (Luxembourg) IV SICAV - FIS - Japan Core Bond Plus,
CITADEL QFIC MASTER FUND LTD.,CITADEL QFIC MASTER FUND,LTD.
ESG Treasury Opportunities Master Portfolio Ltd.,ESG Treasury Opportunities Master Portfolio,Ltd.
AB Bond Inflation Strategy,AB Bond Inflation Strategy,
HFR Macro GAM Global Rates Master Trust,HFR Macro GAM Global Rates Master Trust,
JANUS HENDERSON FLEXIBLE INCOME FUND,JANUS HENDERSON FLEXIBLE INCOME FUND,
EATON VANCE MUTUAL FUNDS TRUST - Parametric Market Neutral Fund,EATON VANCE MUTUAL FUNDS TRUST - Parametric Market Neutral Fund,
STICHTING BEROEPSPENSIOENFONDS LOODSEN,STICHTING BEROEPSPENSIOENFONDS LOODSEN,
THE PRUDENTIAL VARIABLE CONTRACT ACCOUNT-24,THE PRUDENTIAL VARIABLE CONTRACT ACCOUNT-24,
Wellington Trust Company - National Association Multiple Collective Investment Funds Trust - Global Precious Metals Portfolio,Wellington Trust Company - National Association Multiple Collective Investment Funds Trust - Global Precious Metals Portfolio,
"Summit Partners Concentrated Growth L/S Fund, L.P.","Summit Partners Concentrated Growth L/S Fund, L.P.",
Alabama Power Company,Alabama Power,Company
5254 North Clark LLC,5254 North Clark,LLC
"Wellington Trust Company, NA CIF Global Research Equity Portfolio","Wellington Trust Company, NA CIF Global Research Equity Portfolio",
AGF Traditional Balanced Fund,AGF Traditional Balanced Fund,
"Private Equity Partners XI Offshore Holdings, L.P.","Private Equity Partners XI Offshore Holdings, L.P.",
A D Inc,A D,Inc
BlueCrest Capital International Limited,BlueCrest Capital International,Limited
HYDRO ELECTRIC PENSION SCHEME TRUSTEES LIMITED,HYDRO ELECTRIC PENSION SCHEME TRUSTEES,LIMITED
300 Sullivan Place LLC,300 Sullivan Place,LLC
GGT Diversified Alpha Master Fund (Cayman) LP,GGT Diversified Alpha Master Fund (Cayman),LP
東芝ジーイー・タービンサービス株式会社,東芝ジーイー・タービンサービス株式会社,
Wilmington Real Asset Fund,Wilmington Real Asset Fund,
野村ﾌｧﾝﾄﾞ･ﾘｻｰﾁ･ｱﾝﾄﾞ･ﾃｸﾉﾛｼﾞｰ株式会社,野村ﾌｧﾝﾄﾞ･ﾘｻｰﾁ･ｱﾝﾄﾞ･ﾃｸﾉﾛｼﾞｰ株式会社,
Columbia State Bank,Columbia State Bank,
AQR Emerging Defensive Equity Mutual Fund,AQR Emerging Defensive Equity Mutual Fund,
Stichting DOW Pensioenfonds - Global,Stichting DOW Pensioenfonds - Global,
"Furniture Acquisition-BMT, Ltd.",Furniture Acquisition-BMT,Ltd.
Landeskreditbank Baden-Württemberg -Förderbank-,Landeskreditbank Baden-Württemberg -Förderbank-,
UNICREDIT LIFE INSURANCE S.P.A.,UNICREDIT LIFE INSURANCE S.P.A.,
FIDELITY FOREX LLC,FIDELITY FOREX,LLC
BNYM MELLON DB NSL INTERNATIONAL STOCK INDEX FUND,BNYM MELLON DB NSL INTERNATIONAL STOCK INDEX FUND,
